Pclass,Age,SibSp,Parch,Fare,Fare_scaled
1,31.0,0,2,164.8667,12.840042834819517
1,18.0,2,2,262.375,16.197993702925064
1,41.0,0,0,134.5,11.597413504743201
3,28.0,0,0,7.8958,2.8099466187100424
3,20.0,0,0,8.6625,2.9432125305522874
1,39.0,1,1,83.1583,9.119117281842579
1,27.915708812260537,1,0,51.8625,7.201562330494682
3,27.915708812260537,0,0,8.05,2.8372521918222215
3,27.915708812260537,0,0,7.8292,2.798070763937181
3,18.0,0,0,7.4958,2.7378458685616325
3,27.915708812260537,8,2,69.55,8.33966426182733
1,54.0,1,0,59.4,7.707139547199077
2,41.0,0,1,19.5,4.415880433163924
1,48.0,1,0,39.6,6.29285308902091
3,31.0,0,0,7.8542,2.8025345671373976
2,24.0,0,0,13.0,3.605551275463989
2,24.0,1,2,65.0,8.06225774829855
3,41.0,0,2,20.2125,4.495831402532795
2,4.0,2,1,39.0,6.244997998398398
1,58.0,0,1,153.4625,12.3879982240877
3,15.0,0,0,8.0292,2.833584302610388
2,21.0,0,0,10.5,3.24037034920393
3,27.915708812260537,1,0,14.4583,3.802407132330782
1,18.0,0,2,79.65,8.92468486838611
3,29.0,1,1,10.4625,3.2345787979271736
1,42.0,0,0,227.525,15.083931848162136
1,30.0,0,0,31.0,5.5677643628300215
3,22.0,0,0,7.75,2.7838821814150108
2,33.0,1,2,27.75,5.267826876426369
1,30.0,0,0,86.5,9.300537618869138
3,40.0,1,0,9.475,3.078148794324277
2,24.0,2,3,18.75,4.330127018922194
3,18.0,2,0,18.0,4.242640687119285
3,14.5,1,0,14.4542,3.8018679619366056
2,24.0,2,1,27.0,5.196152422706632
3,27.915708812260537,1,0,15.5,3.9370039370059056
3,30.0,0,0,8.6625,2.9432125305522874
2,32.5,0,0,13.0,3.605551275463989
3,20.0,1,0,9.825,3.1344856037314957
1,24.0,0,0,83.1583,9.119117281842579
3,22.0,0,0,9.8375,3.136478917512439
2,3.0,1,2,41.5792,6.448193545482331
3,38.0,1,5,31.3875,5.6024548190949295
1,22.0,1,0,66.6,8.160882305241266
1,52.0,1,0,78.2667,8.846846895928515
1,27.915708812260537,0,0,110.8833,10.530113959497305
3,27.915708812260537,0,0,7.75,2.7838821814150108
3,15.0,1,0,14.4542,3.8018679619366056
2,24.0,0,2,14.5,3.8078865529319543
1,14.0,1,2,120.0,10.954451150103322
2,18.0,0,2,13.0,3.605551275463989
3,27.915708812260537,1,1,22.3583,4.728456407750842
3,13.0,0,0,7.2292,2.688717166233741
3,39.0,1,5,31.275,5.592405564692174
1,48.0,0,0,25.9292,5.092072269714953
3,24.0,0,2,16.7,4.08656334834051
1,21.0,2,2,262.375,16.197993702925064
3,27.915708812260537,3,1,25.4667,5.046454200723514
2,31.0,1,1,26.25,5.123475382979799
1,24.0,0,0,69.3,8.324662155306964
3,47.0,1,0,14.5,3.8078865529319543
3,4.0,1,1,16.7,4.08656334834051
1,30.0,0,0,93.5,9.669539802906858
3,27.915708812260537,0,0,7.55,2.7477263328068173
3,27.915708812260537,2,0,23.25,4.8218253804964775
2,36.0,0,0,13.0,3.605551275463989
1,51.0,1,0,77.9583,8.829399753097602
2,50.0,0,0,10.5,3.24037034920393
3,22.0,0,0,7.75,2.7838821814150108
1,19.0,0,0,30.0,5.477225575051661
2,28.0,0,0,13.0,3.605551275463989
1,38.0,0,0,227.525,15.083931848162136
3,45.0,0,1,14.4542,3.8018679619366056
1,53.0,2,0,51.4792,7.174900696176916
2,35.0,0,0,21.0,4.58257569495584
3,14.0,0,0,7.8542,2.8025345671373976
3,63.0,0,0,9.5875,3.096368841078207
2,54.0,1,3,23.0,4.795831523312719
1,22.0,0,1,55.0,7.416198487095663
2,19.0,0,0,26.0,5.0990195135927845
2,36.0,1,0,26.0,5.0990195135927845
1,36.0,1,2,120.0,10.954451150103322
1,24.0,3,2,263.0,16.217274740226856
1,52.0,1,1,93.5,9.669539802906858
3,21.0,0,0,7.65,2.7658633371878665
1,22.0,0,0,151.55,12.310564568694646
1,49.0,1,0,76.7292,8.75952053482381
3,2.0,4,2,31.275,5.592405564692174
1,24.0,0,0,69.3,8.324662155306964
3,16.0,5,2,46.9,6.848357467305573
3,0.75,2,1,19.2583,4.388427964544935
2,32.0,0,0,13.0,3.605551275463989
2,17.0,0,0,12.0,3.4641016151377544
2,50.0,0,0,10.5,3.24037034920393
2,40.0,1,1,39.0,6.244997998398398
1,26.0,0,0,78.85,8.879752248796134
3,27.915708812260537,0,0,7.8792,2.806991271806879
2,24.0,1,0,26.0,5.0990195135927845
1,27.915708812260537,1,0,133.65,11.560709320798617
1,16.0,0,1,57.9792,7.6144073965082795
1,40.0,0,0,153.4625,12.3879982240877
3,27.915708812260537,0,0,7.7875,2.790609252475165
2,29.0,1,0,26.0,5.0990195135927845
2,22.0,1,2,41.5792,6.448193545482331
3,45.0,1,4,27.9,5.282045058497703
2,33.0,0,2,26.0,5.0990195135927845
3,26.0,0,0,7.925,2.8151376520518494
3,22.0,0,0,7.25,2.692582403567252
