Pclass,Age,SibSp,Parch,Fare,Fare_scaled
3,40.0,0,0,7.8958,2.8099466187100424
3,11.0,0,0,18.7875,4.334454983039967
3,27.0,0,0,6.975,2.6410225292488514
3,29.0,0,0,8.05,2.8372521918222215
1,44.0,2,0,90.0,9.486832980505138
1,52.0,0,0,30.5,5.522680508593631
3,21.0,0,0,7.925,2.8151376520518494
3,4.0,1,1,11.1333,3.33666000665336
3,30.72664459161148,0,0,7.8958,2.8099466187100424
2,34.0,1,0,21.0,4.58257569495584
3,32.0,0,0,7.8958,2.8099466187100424
3,18.0,0,0,7.75,2.7838821814150108
3,30.0,0,0,7.2292,2.688717166233741
2,19.0,0,0,10.5,3.24037034920393
3,32.0,0,0,7.8542,2.8025345671373976
3,30.0,0,0,7.8958,2.8099466187100424
3,9.0,4,2,31.3875,5.6024548190949295
1,48.0,0,0,26.55,5.152669211195301
3,30.72664459161148,0,0,7.75,2.7838821814150108
3,20.0,0,0,8.05,2.8372521918222215
3,30.72664459161148,0,0,8.05,2.8372521918222215
3,20.0,0,0,8.6625,2.9432125305522874
3,21.0,0,0,7.7333,2.780881155317501
3,51.0,0,0,8.05,2.8372521918222215
3,30.72664459161148,0,0,8.1125,2.8482450737252227
3,17.0,1,0,7.0542,2.6559743974669634
3,30.72664459161148,1,2,23.45,4.8425200051213
1,42.0,1,0,52.0,7.211102550927978
3,30.72664459161148,0,0,24.15,4.914264950122246
3,30.72664459161148,0,0,15.5,3.9370039370059056
3,30.72664459161148,0,0,7.75,2.7838821814150108
3,30.72664459161148,1,0,15.5,3.9370039370059056
2,59.0,0,0,13.5,3.6742346141747673
3,30.72664459161148,0,0,7.2292,2.688717166233741
3,27.0,0,0,7.8958,2.8099466187100424
2,18.0,0,0,11.5,3.391164991562634
3,24.0,0,0,9.5,3.082207001484488
1,51.0,0,1,61.3792,7.834487858181925
1,24.0,0,1,247.5208,15.732793776058974
3,30.72664459161148,0,0,7.8958,2.8099466187100424
3,16.0,4,1,39.6875,6.299801584177076
3,33.0,0,0,8.6625,2.9432125305522874
2,31.0,1,1,37.0042,6.083107758374826
3,16.0,0,0,7.775,2.7883686987197374
3,38.0,0,0,7.8958,2.8099466187100424
3,30.72664459161148,0,0,7.8958,2.8099466187100424
3,16.0,0,0,9.5,3.082207001484488
1,60.0,1,1,79.2,8.899438184514796
3,24.0,0,0,8.05,2.8372521918222215
2,21.0,2,0,73.5,8.573214099741124
3,36.0,0,0,7.8958,2.8099466187100424
1,30.72664459161148,0,0,27.7208,5.26505460560477
1,38.0,0,0,0.0,0.0
3,28.0,0,0,7.8542,2.8025345671373976
1,48.0,1,0,76.7292,8.75952053482381
3,45.5,0,0,7.225,2.6879360111431225
3,23.0,0,0,7.8958,2.8099466187100424
3,28.0,0,0,9.5,3.082207001484488
1,30.72664459161148,0,0,227.525,15.083931848162136
3,30.72664459161148,0,0,7.2292,2.688717166233741
3,21.0,0,0,7.925,2.8151376520518494
3,0.42,0,1,8.5167,2.918338568432388
2,52.0,0,0,13.0,3.605551275463989
1,30.72664459161148,0,0,26.55,5.152669211195301
